#TAB	blue
#TITLE	Validation Report - Kestrel and Co. Website - Phase 1 - Staging
#WIDTHS	14	42	16	96	40	14	12	14
#FREEZE	4
#FILTER	1
#FILLS	orange	orange	orange	orange	orange	orange	orange	orange
#COMMENTS	The solution ID from the SDR. Not a new number. This is what makes the whole chain checkable.	Copied from the SDR so the row can be read without opening another document.	Passed, Failed, Partly passed or Ignored, as at the latest cycle.	Every cycle, dated, newest at the bottom. Never overwrite the previous finding. The history is what shows whether a fix worked or moved the problem.	Something agreed as acceptable rather than fixed. An exception is a decision and it needs to be written down.	Who has to act next. Blank means nobody, which means it is done.	When the fix is expected.	Filled in by the Kestrel business team, not by the analytics team.
Solution ID	Requirement	Status	Findings by cycle	Exception agreed	Action on	ETA	Sign-off
KES-S001	Every page load on the website	Passed	22 May: Page name arrives on the home page and the listing pages but is empty on every product page. The object is set by a later script. 29 May: Product pages now populate. Login status still Anonymous for a signed in customer on the account pages. 04 Jun: All eleven global objects present on all page types.			Signed
KES-S002	Every virtual page load in the cart and checkout	Partly passed	22 May: The direct call fires on the first load as well as on each step change, so the checkout counts one page view too many. 29 May: Fixed on delivery and payment. Still double counting on the first cart view. 04 Jun: Cart view fixed. Named Day delivery view has no virtual page load at all, and that view was not in the walkthrough.	Named Day view deferred to the Phase 1 patch release, agreed 04 Jun.	Kestrel web dev	12 Jun
KES-S003	A product is clicked on a listing page	Passed	22 May: Direct call fires twice on every click, so product clicks are exactly double. 29 May: Fires once. Listing type is Category Listing on the search results page. 04 Jun: Correct on all four listing types.			Signed
KES-S004	A product detail page is viewed	Passed	22 May: Page load rule fires before the product objects exist, so every product view is empty. Changed to a direct call, see TSD change log 2. 29 May: Populates correctly. 04 Jun: Confirmed on twelve products across three categories.			Signed
KES-S005	A product is added to the cart from the product page	Passed	22 May: Quantity is the cart total rather than the quantity being added, so a second add of the same product sends 2. 29 May: Correct. 04 Jun: Confirmed including quantity above one.			Signed
KES-S006	A product is added to the cart from the quick view overlay	Passed	22 May: Cart source is Product Page rather than Quick View, so the two cannot be told apart. 29 May: Correct. 04 Jun: Confirmed.			Signed
KES-S007	A product is removed from the cart	Passed	22 May: The whole cart is sent on a removal, so removing one product reports all of them removed. 29 May: Correct. 04 Jun: Confirmed.			Signed
KES-S008	The cart page is viewed	Passed	22 May: Product string holds one entry with three IDs joined by commas inside it. 29 May: Rebuilt as an array, see TSD change log 3. Correct. 04 Jun: Confirmed with one, three and eleven products.			Signed
KES-S009	The checkout is started	Passed	22 May: Fires again every time the customer goes back a step, inflating checkouts. 29 May: Fires once. 04 Jun: Confirmed.			Signed
KES-S010	The delivery step is completed	Passed	22 May: Delivery charge is missing when the charge is zero, because the site treats zero as nothing to send. 29 May: Zero now sent as zero. 04 Jun: Confirmed on all four options including showroom collection.			Signed
KES-S011	The payment step is completed	Passed	22 May: Payment method arrives as the gateway code rather than the name. 29 May: Names correct for card and PayPal, still a code for Klarna. 04 Jun: All five correct.			Signed
KES-S012	An order is completed	Passed	22 May: Refreshing the confirmation page sends a second purchase, so revenue on the test account was double. 29 May: Guard added, see TSD change log 4. No duplicate across twenty refreshes. 04 Jun: Confirmed. Revenue matches the order system on all fourteen test orders.			Signed
KES-S013	A payment fails	Partly passed	22 May: No call at all. The failure view is served by the gateway and the site never regains control. 29 May: The gateway now returns to a site page and the call fires. Failure reason is a numeric code. 04 Jun: Card Declined and Cancelled by Customer map correctly. The three gateway timeout codes still arrive as numbers.	Numeric timeout codes accepted for launch and classified in reporting instead, agreed 04 Jun.	Kestrel web dev	26 Jun	Signed
KES-S014	A discount code is applied	Passed	22 May: Fires on a rejected code as well as an accepted one. 29 May: Fires only on accepted. 04 Jun: Confirmed on three codes.			Signed
KES-S015	A search is run on the site	Passed	22 May: Result count arrives as a string, so no null search was ever recorded. 29 May: Rewritten, see TSD change log 5. Null searches now recorded. 04 Jun: Confirmed. Bucket processing rule correct.			Signed
KES-S016	A search result is clicked	Passed	22 May: Position counts from zero. 29 May: Counts from one. 04 Jun: Confirmed including promoted results.			Signed
KES-S017	A customer signs in	Passed	22 May: Customer ID is the raw email address. Stopped testing and raised immediately. 29 May: Hashed on the server. Raw address no longer present anywhere in the data layer. 04 Jun: Confirmed on all four sign in methods.			Signed
KES-S018	A new customer registers	Passed	22 May: No call. 29 May: Fires, but also on a failed registration. 04 Jun: Fires only on a created account.			Signed
KES-S019	A customer signs out	Failed	22 May: No call. 29 May: No call. 04 Jun: Still no call. The session is cleared and the page reloads before the tag manager can see anything.		Kestrel web dev	19 Jun
KES-S020	A home page banner is clicked	Passed	22 May: Banner position is the campaign slot from the content system rather than the position on the page, so the same banner reports the same position everywhere. 29 May: Correct. 04 Jun: Confirmed.			Signed
KES-S021	A navigation link is clicked	Passed	22 May: Footer links do not fire. Header and main menu correct. 29 May: All three fire. Navigation level is Main Menu for footer links. 04 Jun: Correct.			Signed
KES-S022	A showroom is looked up	Passed	22 May: Showroom city is the showroom location rather than the city searched for. 29 May: Correct. 04 Jun: Confirmed on eight searches.			Signed
KES-S023	A form is started and a form is submitted	Ignored	22 May: Direct call identifiers are formStart and formComplete rather than form_start and form_submit. Data element names also differ. 29 May: No change. 04 Jun: No change. The form component is owned by a third party and the change is not in their release window.	Dropped from Phase 1 entirely. The trade account form is the only form in scope and it will be covered in the Phase 1 patch release. Agreed 04 Jun.	Kestrel web dev	Phase 1 patch
KES-S024	An error is shown to the customer	Passed	22 May: Page not found fires but carries no URL, so the report says only that something was missing. 29 May: URL present. 04 Jun: Gateway and form validation errors also confirmed.			Signed
KES-S031	Marketing channel processing rules	Passed	29 May: Paid search traffic is landing in Natural Search because the paid rule sits below the natural one. 04 Jun: Order corrected. All nine channels resolve.			Signed
KES-S032	Campaign code classifications	Passed	04 Jun: Uploaded and applied. Twelve campaign codes classified, four with no name yet.		Kestrel marketing	pre launch	Signed
KES-S033	Search results bucket processing rule	Passed	04 Jun: Applied. Buckets correct at zero, three, eleven and forty results.			Signed
KES-S038	Consent gate on every rule	Passed	29 May: Two rules fire before consent is answered. 04 Jun: All rules gated. No hit before an answer.			Signed
